route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
SS:CW,SS,CW,Free South City Shuttle - Blue,"Clockwise route starting at SSF BART station bay 6 through Hillside Blvd, Linden Ave, Grand Ave, Downtown South San Francisco, West Orange Library and El Camino Real.",3,,293adb,293adb,0
SA:SMART,SA,SMART,Main Line,Sonoma County Airport to Larkspur,2,,4d6d51,,0
3D:379,3D,379,Antioch BART / Kaiser Deer Valley,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=379,A0FFFF,FFFFFF,0
3D:388,3D,388,Pittsburg BART / Kaiser Deer Valley,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=388,5080A3,FFFFFF,0
3D:201,3D,201,Pittsburg / Concord BART,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=201,002580,FFFFFF,0
3D:394,3D,394,Weekend BART / Antioch,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=394,F3DF80,FFFFFF,0
3D:300,3D,300,Brentwood Park & Ride / Pittsburg Bay Point BART,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=300,800080,FFFFFF,0
3D:387,3D,387,Pittsburg BART / Antioch,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=387,D1ACDC,FFFFFF,0
3D:390,3D,390,Antioch BART / Pittsburg Bay Point BART,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=390,800000,FFFFFF,0
3D:393,3D,393,Weekend BART / Brentwood,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=393,6BB717,FFFFFF,0
3D:383,3D,383,Antioch / Oakley,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=383,DC006E,FFFFFF,0
3D:391,3D,391,Pittsburg BART / Brentwood,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=391,DA8E0F,FFFFFF,0
3D:395,3D,395,Weekend Antioch / Brentwood,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=395,451472,FFFFFF,0
3D:389,3D,389,Pittsburg BART / Bay Point,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=389,C3823B,FFFFFF,0
3D:200,3D,200,Martinez / Pittsburg,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=200,C09600,FFFFFF,0
3D:385,3D,385,Antioch / Brentwood,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=385,00A8A8,FFFFFF,0
3D:392,3D,392,Weekend BART / Antioch,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=392,C02000,FFFFFF,0
3D:380,3D,380,Pittsburg Bay Point BART/ Antioch,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=380,008000,FFFFFF,0
3D:381,3D,381,Los Medanos College / Pittsburg Marina,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=381,0080FF,FFFFFF,0
3D:384,3D,384,Antioch BART / Brentwood Park & Ride,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=384,878787,FFFFFF,0
3D:396,3D,396,Bay Point / Kaiser,,3,http://12.155.17.20/RTT/Public/Schedule.aspx?RouteNo=396,A8C73E,FFFFFF,0
SB:South SF - Ala - Oak,SB,South SF - Ala - Oak,South SF - Oakland - Alameda,,4,,c60bb6,ffffff,0
SB:South SF - HB,SB,South SF - HB,South San Francisco - Harbor Bay,,4,,d63956,ffffff,0
SB:Vallejo - SF,SB,Vallejo - SF,Vallejo - San Francisco,,4,,008e9d,ffffff,0
SB:HB - SF,SB,HB - SF,Harbor Bay - San Francisco Ferry Building,,4,,d63956,000000,0
