stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,area_id
mtc:powell,Powell,,,37.78459,-122.40737,,,1,,,0,,mtc:powell
mtc:fruitvale,Fruitvale,,,37.77486,-122.22412,,,1,,,0,,mtc:fruitvale
mtc:warm-springs-south-fremont-bart,Warm Springs South Fremont BART,,,37.50199,-121.93925,,,1,,,0,,mtc:warm-springs-south-fremont-bart
mtc:caltrain-4th-&-king,Caltrain 4th & King,,,37.77649,-122.39487,,,1,,,0,,mtc:caltrain-4th-&-king
mtc:el-cerrito-del-norte-bart,El Cerrito Del Norte BART,,,37.92529,-122.31699,,,1,,,0,,mtc:el-cerrito-del-norte-bart
mtc:walnut-creek-bart,Walnut Creek BART,,,37.90580,-122.06734,,,1,,,0,,mtc:walnut-creek-bart
mtc:richmond-bart/amtrak,Richmond BART/Amtrak,,,37.93684,-122.35314,,,1,,,0,,mtc:richmond-bart/amtrak
mtc:santa-clara-caltrain,Santa Clara Caltrain,,,37.35313,-121.93555,,,1,,,0,,mtc:santa-clara-caltrain
mtc:san-francisco-ferry-terminal,San Francisco Ferry Terminal,,,37.79550,-122.39350,,,1,,,0,,mtc:san-francisco-ferry-terminal
mtc:macarthur-bart,MacArthur BART,,,37.82909,-122.26706,,,1,,,0,,mtc:macarthur-bart
mtc:oak,OAK,,,37.71326,-122.21221,,,1,,,0,,mtc:oak
mtc:vallejo-ferry-terminal,Vallejo Ferry Terminal,,,38.09994,-122.26299,,,1,,,0,,mtc:vallejo-ferry-terminal
mtc:palo-alto-station,Palo Alto Station,,,37.44317,-122.16432,,,1,,,0,,mtc:palo-alto-station
mtc:san-rafael-transit-center,San Rafael Transit Center,,,37.97117,-122.52265,,,1,,,0,,mtc:san-rafael-transit-center
mtc:sjc,SJC,,,37.36822,-121.92743,,,1,,,0,,mtc:sjc
mtc:millbrae-bart,Millbrae BART,,,37.60009,-122.38699,,,1,,,0,,mtc:millbrae-bart
mtc:pleasant-hill-bart,Pleasant Hill BART,,,37.92842,-122.05599,,,1,,,0,,mtc:pleasant-hill-bart
mtc:daly-city-bart,Daly City BART,,,37.70631,-122.46891,,,1,,,0,,mtc:daly-city-bart
mtc:oakland-coliseum-bart,Oakland Coliseum BART,,,37.75364,-122.19678,,,1,,,0,,mtc:oakland-coliseum-bart
mtc:santa-rosa-transit-mall,Santa Rosa Transit Mall,,,38.43868,-122.71377,,,1,,,0,,mtc:santa-rosa-transit-mall
mtc:fairfield-transportation-center,Fairfield Transportation Center,,,38.24876,-122.06848,,,1,,,0,,mtc:fairfield-transportation-center
mtc:12th-st-oakland-city-center-bart,12th St Oakland City Center BART,,,37.80295,-122.27205,,,1,,,0,,mtc:12th-st-oakland-city-center-bart
mtc:19th-st-oakland-bart,19TH St Oakland BART,,,37.80778,-122.26902,,,1,,,0,,mtc:19th-st-oakland-bart
mtc:embarcadero-bart,Embarcadero BART,,,37.79281,-122.39685,,,1,,,0,,mtc:embarcadero-bart
mtc:1591152172839,1591152172839,,,37.77398,-122.43166,,,1,,,0,,mtc:1591152172839
mtc:civic-center-bart,Civic Center BART,,,37.77872,-122.41477,,,1,,,0,,mtc:civic-center-bart
