route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AC:840,AC:72905,AC:12791070,Eastmont Transit Center,,0,AC:108022207,AC:shp-840-54,0,0
SC:Rapid 522,SC:75706,SC:2977249,RAPID PALO ALTO,,1,SC:543,SC:100355,0,0
GG:101,GG:73017,GG:6866358,SANTA ROSA,,0,GG:1486582,GG:1010368,0,0
SF:12,SF:73692,SF:9542639,Van Ness,,1,SF:1204,SF:180010,0,0
AC:99,AC:72905,AC:12523070,Hayward BART,,1,AC:107900907,AC:shp-99-07,2,2
BA:BG-S,BA:75397,BA:8031605,Oakland International Airport Station,,0,,BA:20_shp,0,0
SR:4,SR:76154,SR:t295-sl8-p235-rD1,4 Rincon Valley,,0,SR:110,SR:565_shp,0,0
AC:88,AC:72905,AC:8670070,Lake Merritt BART,,0,AC:107174707,AC:shp-88-06,0,0
SF:MBUS,SF:73692,SF:9721628,West Portal Station,,1,SF:9638,SF:180394,0,0
FS:6,FS:76115,FS:t_1212460_b_26749_tn_6,SOLANO TOWN CENTER,,1,FS:0602,FS:p_2488,0,0
SF:25,SF:73693,SF:9540177,Treasure Island (Daytime to midnight),,1,SF:2501,SF:180062,0,0
SF:49,SF:73692,SF:9544769,City College,,0,SF:4931,SF:180183,0,0
AC:NL,AC:72906,AC:12343020,Eastmont Transit Center,,0,AC:108001102,AC:shp-NL-09,0,0
SF:NBUS,SF:73694,SF:9700822,Ocean Beach,,0,SF:7026,SF:180436,0,0
SC:42,SC:72914,SC:2976101,SANTA TERESA STATION,,1,SC:4202,SC:100311,0,0
AC:6,AC:72905,AC:9060070,Downtown Oakland,,0,AC:106976807,AC:shp-6-56,0,0
SF:22,SF:73693,SF:9552755,Bay Street,,1,SF:2217,SF:180041,0,0
AC:251,AC:72906,AC:2000020,Fremont BART,,1,AC:107941702,AC:shp-251-07,0,0
ST:7A,ST:75777,ST:t735-bC9-slA,CW via STC GATEWAY SPRINGS STC Kaiser Gateway & SC,,0,ST:201,ST:2711_shp,0,0
AC:52,AC:72907,AC:841010,U.C. Campus,,0,AC:107175201,AC:shp-52-60,0,0
BA:GN-N,BA:72953,BA:1051342,Berryessa/North San Jose,,0,,BA:06_shp,0,0
MA:135,MA:72918,MA:135021,Canal via San Rafael,,0,MA:1058,MA:20,0,0
SM:ECR,SM:75922,SM:4006023,Palo Alto,4006023,0,,SM:ECR1048,0,0
SF:49,SF:73693,SF:9545138,Fisherman's Wharf,,1,SF:4904,SF:180187,0,0
AC:F,AC:72906,AC:4954020,San Francisco,,1,AC:107539302,AC:shp-F-70,0,0
SF:44,SF:73692,SF:9544253,Bayview District - Hudson & Newhall,,1,SF:4418,SF:180158,0,0
AC:28,AC:72906,AC:3011020,Hayward BART,,1,AC:107942002,AC:shp-28-58,0,0
SC:77,SC:72914,SC:2984872,MILPITAS BART,,0,SC:7772,SC:100502,0,0
SF:NBUS,SF:73694,SF:9700841,Townsend and 5th St,,1,SF:7009,SF:180437,0,0
SM:296,SM:73026,SM:2961082,Redwood City Transit Center,2961082,1,,SM:2960292,0,0
AC:239,AC:72906,AC:2828020,Kato Rd. & Milmont Dr.,,1,AC:107947902,AC:shp-239-57,0,0
CC:35,CC:75939,CC:678020,Dublin BART Via Windemere Pkwy,,0,CC:6402,CC:shp-35-51,2,2
AC:90,AC:72906,AC:4257020,Coliseum BART,,1,AC:108010202,AC:shp-90-54,0,0
3D:300,3D:72969,3D:953,Westbound Antioch BART,,0,3D:105,3D:26,0,0
SF:7,SF:73692,SF:9549052,Ocean Beach,,1,SF:721,SF:179972,0,0
SF:30,SF:73692,SF:9538867,Caltrain Depot,,0,SF:3007,SF:180096,0,0
SF:22,SF:73692,SF:9441106,Third + 20th,,0,SF:2207,SF:180035,0,0
BA:BG-N,BA:75398,BA:8130815,Coliseum,,0,,BA:19_shp,0,0
SI:Red Line,SI:74999,SI:727,Red Line,,0,,SI:RED_shape,1,1
